sequence_id,game_id,period,play_clock,home_description,away_description,score,player1_id,player1_name,player1_team,player2_id,player2_name,player2_team,player3_id,player3_name,player3_team,event_type,event_description
103,21500001,4,2:07,,MISS Drummond 1' Tip Layup Shot,,203083,Andre Drummond,DET,0,,,0,,,Missed Shot ,
104,21500001,4,2:04,Horford REBOUND (Off:0 Def:2),,,201143,Al Horford,ATL,0,,,0,,,Rebound ,Unknown
105,21500001,4,1:59,,Caldwell-Pope P.FOUL (P1.PN) (M.Smith),,203484,Kentavious Caldwell-Pope,DET,201952,Jeff Teague,ATL,0,,,Foul ,Personal
106,21500001,4,1:59,Teague Free Throw 1 of 2 (12 PTS),,96 - 87,201952,Jeff Teague,ATL,0,,,0,,,Free Throw ,Free Throw 1 of 2
107,21500001,4,1:59,Teague Free Throw 2 of 2 (13 PTS),,96 - 88,201952,Jeff Teague,ATL,0,,,0,,,Free Throw ,Free Throw 2 of 2
108,21500001,4,1:47,,MISS Caldwell-Pope 25' 3PT Jump Shot,,203484,Kentavious Caldwell-Pope,DET,0,,,0,,,Missed Shot ,
109,21500001,4,1:45,,Drummond REBOUND (Off:8 Def:9),,203083,Andre Drummond,DET,0,,,0,,,Rebound ,Unknown
110,21500001,4,1:42,,MISS Caldwell-Pope  Jump Shot,,203484,Kentavious Caldwell-Pope,DET,0,,,0,,,Missed Shot ,
111,21500001,4,1:39,,Ilyasova REBOUND (Off:3 Def:3),,101141,Ersan Ilyasova,DET,0,,,0,,,Rebound ,Unknown
112,21500001,4,1:38,Horford BLOCK (3 BLK),MISS Ilyasova  Putback Layup,,101141,Ersan Ilyasova,DET,0,,,201143,Al Horford,ATL,Missed Shot ,
113,21500001,4,1:36,,Caldwell-Pope REBOUND (Off:1 Def:3),,203484,Kentavious Caldwell-Pope,DET,0,,,0,,,Rebound ,Unknown
114,21500001,4,1:32,,MISS Marc Morris 17' Pullup Jump Shot,,202694,Marcus Morris,DET,0,,,0,,,Missed Shot ,
115,21500001,4,1:29,,Marc Morris REBOUND (Off:5 Def:5),,202694,Marcus Morris,DET,0,,,0,,,Rebound ,Unknown
116,21500001,4,1:15,Korver P.FOUL (P4.PN) (Z.Zarba),,,2594,Kyle Korver,ATL,202704,Reggie Jackson,DET,0,,,Foul ,Personal
117,21500001,4,1:04,Millsap S.FOUL (P4.PN) (E.Roe),,,200794,Paul Millsap,ATL,101141,Ersan Ilyasova,DET,0,,,Foul ,Shooting
118,21500001,4,1:04,,MISS Ilyasova Free Throw 1 of 2,,101141,Ersan Ilyasova,DET,0,,,0,,,Free Throw ,Free Throw 1 of 2
119,21500001,4,1:04,,Pistons Rebound,,1610612765,,,0,,,0,,,Rebound ,Normal Rebound
120,21500001,4,1:04,,Ilyasova Free Throw 2 of 2 (16 PTS),97 - 88,101141,Ersan Ilyasova,DET,0,,,0,,,Free Throw ,Free Throw 2 of 2
121,21500001,4,0:55,,Ilyasova P.FOUL (P4.PN) (E.Roe),,101141,Ersan Ilyasova,DET,200794,Paul Millsap,ATL,0,,,Foul ,Personal
122,21500001,4,0:55,Millsap Free Throw 1 of 2 (19 PTS),,97 - 89,200794,Paul Millsap,ATL,0,,,0,,,Free Throw ,Free Throw 1 of 2
123,21500001,4,0:55,MISS Millsap Free Throw 2 of 2,,,200794,Paul Millsap,ATL,0,,,0,,,Free Throw ,Free Throw 2 of 2
124,21500001,4,0:52,Horford REBOUND (Off:1 Def:2),,,201143,Al Horford,ATL,0,,,0,,,Rebound ,Unknown
125,21500001,4,0:45,MISS Korver 21' Jump Shot,,,2594,Kyle Korver,ATL,0,,,0,,,Missed Shot ,
126,21500001,4,0:44,,Drummond REBOUND (Off:8 Def:10),,203083,Andre Drummond,DET,0,,,0,,,Rebound ,Unknown
127,21500001,4,0:44,Patterson Personal Take Foul (P2.PN) (Z.Zarba),,,203934,Lamar Patterson,ATL,203083,Andre Drummond,DET,0,,,Foul ,Personal Take
128,21500001,4,0:44,,Drummond Free Throw 1 of 2 (18 PTS),98 - 89,203083,Andre Drummond,DET,0,,,0,,,Free Throw ,Free Throw 1 of 2
129,21500001,4,0:44,,MISS Drummond Free Throw 2 of 2,,203083,Andre Drummond,DET,0,,,0,,,Free Throw ,Free Throw 2 of 2
130,21500001,4,0:42,Horford REBOUND (Off:1 Def:3),,,201143,Al Horford,ATL,0,,,0,,,Rebound ,Unknown
131,21500001,4,0:38,Teague 1' Running Layup (15 PTS),,98 - 91,201952,Jeff Teague,ATL,0,,,0,,,Made Shot ,
132,21500001,4,0:37,Teague Personal Take Foul (P1.PN) (Z.Zarba),,,201952,Jeff Teague,ATL,202694,Marcus Morris,DET,0,,,Foul ,Personal Take
133,21500001,4,0:37,,Marc Morris Free Throw 1 of 2 (17 PTS),99 - 91,202694,Marcus Morris,DET,0,,,0,,,Free Throw ,Free Throw 1 of 2
134,21500001,4,0:37,,Marc Morris Free Throw 2 of 2 (18 PTS),100 - 91,202694,Marcus Morris,DET,0,,,0,,,Free Throw ,Free Throw 2 of 2
135,21500001,4,0:37,HAWKS Timeout: Regular (Full 5 Short 0),,,1610612737,,,0,,,0,,,Timeout ,Regular
136,21500001,4,0:29,Teague 25' 3PT Pullup Jump Shot (18 PTS) (Horford 4 AST),,100 - 94,201952,Jeff Teague,ATL,201143,Al Horford,ATL,0,,,Made Shot ,
137,21500001,4,0:28,Patterson Personal Take Foul (P3.PN) (M.Smith),,,203934,Lamar Patterson,ATL,203484,Kentavious Caldwell-Pope,DET,0,,,Foul ,Personal Take
138,21500001,4,0:28,,Caldwell-Pope Free Throw 1 of 2 (20 PTS),101 - 94,203484,Kentavious Caldwell-Pope,DET,0,,,0,,,Free Throw ,Free Throw 1 of 2
139,21500001,4,0:28,,Caldwell-Pope Free Throw 2 of 2 (21 PTS),102 - 94,203484,Kentavious Caldwell-Pope,DET,0,,,0,,,Free Throw ,Free Throw 2 of 2
140,21500001,4,0:23,MISS Teague 2' Running Layup,Drummond BLOCK (2 BLK),,201952,Jeff Teague,ATL,0,,,203083,Andre Drummond,DET,Missed Shot ,
141,21500001,4,0:21,,Ilyasova REBOUND (Off:3 Def:4),,101141,Ersan Ilyasova,DET,0,,,0,,,Rebound ,Unknown
142,21500001,4,0:21,Patterson Personal Take Foul (P4.PN) (M.Smith),,,203934,Lamar Patterson,ATL,202704,Reggie Jackson,DET,0,,,Foul ,Personal Take
143,21500001,4,0:21,,Jackson Free Throw 1 of 2 (12 PTS),103 - 94,202704,Reggie Jackson,DET,0,,,0,,,Free Throw ,Free Throw 1 of 2
144,21500001,4,0:21,,Jackson Free Throw 2 of 2 (13 PTS),104 - 94,202704,Reggie Jackson,DET,0,,,0,,,Free Throw ,Free Throw 2 of 2
145,21500001,4,0:14,MISS Korver 25' 3PT Pullup Jump Shot,,,2594,Kyle Korver,ATL,0,,,0,,,Missed Shot ,
146,21500001,4,0:12,,Jackson REBOUND (Off:1 Def:7),,202704,Reggie Jackson,DET,0,,,0,,,Rebound ,Unknown
147,21500001,4,0:11,Horford Personal Take Foul (P1.PN) (M.Smith),,,201143,Al Horford,ATL,202704,Reggie Jackson,DET,0,,,Foul ,Personal Take
148,21500001,4,0:11,,Jackson Free Throw 1 of 2 (14 PTS),105 - 94,202704,Reggie Jackson,DET,0,,,0,,,Free Throw ,Free Throw 1 of 2
149,21500001,4,0:11,,Jackson Free Throw 2 of 2 (15 PTS),106 - 94,202704,Reggie Jackson,DET,0,,,0,,,Free Throw ,Free Throw 2 of 2
150,21500001,4,0:05,MISS Horford 24' 3PT Jump Shot,,,201143,Al Horford,ATL,0,,,0,,,Missed Shot ,
151,21500001,4,0:02,,Drummond REBOUND (Off:8 Def:11),,203083,Andre Drummond,DET,0,,,0,,,Rebound ,Unknown
152,21500001,4,0:00,,,106 - 94,0,,,0,,,0,,,End Period ,
153,21500002,4,12:00,,,68 - 71,0,,,0,,,0,,,Start Period ,
154,21500002,4,11:36,MISS Moore 16' Fadeaway Jumper,,,202734,E'Twaun Moore,CHI,0,,,0,,,Missed Shot ,
155,21500002,4,11:35,,Thompson REBOUND (Off:0 Def:5),,202684,Tristan Thompson,CLE,0,,,0,,,Rebound ,Unknown
156,21500002,4,11:30,,Williams 26' 3PT Jump Shot (17 PTS) (Dellavedova 4 AST),71 - 71,2590,Mo Williams,CLE,203521,Matthew Dellavedova,CLE,0,,,Made Shot ,
157,21500002,4,11:03,MISS Brooks 25' 3PT Jump Shot,,,201166,Aaron Brooks,CHI,0,,,0,,,Missed Shot ,
158,21500002,4,11:02,,Williams REBOUND (Off:0 Def:4),,2590,Mo Williams,CLE,0,,,0,,,Rebound ,Unknown
159,21500002,4,10:55,,MISS Williams  3PT Running Jump Shot,,2590,Mo Williams,CLE,0,,,0,,,Missed Shot ,
160,21500002,4,10:53,Gibson REBOUND (Off:2 Def:8),,,201959,Taj Gibson,CHI,0,,,0,,,Rebound ,Unknown
161,21500002,4,10:44,MISS Brooks 16' Jump Shot,,,201166,Aaron Brooks,CHI,0,,,0,,,Missed Shot ,
162,21500002,4,10:43,,Thompson REBOUND (Off:0 Def:6),,202684,Tristan Thompson,CLE,0,,,0,,,Rebound ,Unknown
163,21500002,4,10:31,,MISS Dellavedova 8' Driving Floating Jump Shot,,203521,Matthew Dellavedova,CLE,0,,,0,,,Missed Shot ,
164,21500002,4,10:29,Noah REBOUND (Off:2 Def:7),,,201149,Joakim Noah,CHI,0,,,0,,,Rebound ,Unknown
165,21500002,4,10:23,Moore 24' 3PT Jump Shot (11 PTS) (Noah 3 AST),,71 - 74,202734,E'Twaun Moore,CHI,201149,Joakim Noah,CHI,0,,,Made Shot ,
166,21500002,4,10:01,,MISS Varejao 20' Jump Shot,,2760,Anderson Varejao,CLE,0,,,0,,,Missed Shot ,
167,21500002,4,10:00,McDermott REBOUND (Off:0 Def:4),,,203926,Doug McDermott,CHI,0,,,0,,,Rebound ,Unknown
168,21500002,4,9:53,,Jefferson S.FOUL (P3.T1) (S.Foster),,2210,Richard Jefferson,CLE,203926,Doug McDermott,CHI,0,,,Foul ,Shooting
169,21500002,4,9:53,McDermott Free Throw 1 of 2 (8 PTS),,71 - 75,203926,Doug McDermott,CHI,0,,,0,,,Free Throw ,Free Throw 1 of 2
170,21500002,4,9:53,,SUB: James FOR Dellavedova,,203521,Matthew Dellavedova,CLE,2544,LeBron James,CLE,0,,,Substitution ,
171,21500002,4,9:53,,SUB: Love FOR Varejao,,2760,Anderson Varejao,CLE,201567,Kevin Love,CLE,0,,,Substitution ,
172,21500002,4,9:53,SUB: Rose FOR Brooks,,,201166,Aaron Brooks,CHI,201565,Derrick Rose,CHI,0,,,Substitution ,
173,21500002,4,9:53,SUB: Butler FOR Moore,,,202734,E'Twaun Moore,CHI,202710,Jimmy Butler,CHI,0,,,Substitution ,
174,21500002,4,9:53,MISS McDermott Free Throw 2 of 2,,,203926,Doug McDermott,CHI,0,,,0,,,Free Throw ,Free Throw 2 of 2
175,21500002,4,9:51,,Thompson REBOUND (Off:0 Def:7),,202684,Tristan Thompson,CLE,0,,,0,,,Rebound ,Unknown
176,21500002,4,9:32,Gibson BLOCK (3 BLK),MISS Love 24' 3PT Jump Shot,,201567,Kevin Love,CLE,0,,,201959,Taj Gibson,CHI,Missed Shot ,
177,21500002,4,9:30,,Thompson REBOUND (Off:1 Def:7),,202684,Tristan Thompson,CLE,0,,,0,,,Rebound ,Unknown
178,21500002,4,9:29,,Cavaliers Turnover: Shot Clock (T#8),,1610612739,,,0,,,0,,,Turnover ,Shot Clock Turnover
179,21500002,4,9:18,Gibson 14' Jump Shot (5 PTS) (Noah 4 AST),,71 - 77,201959,Taj Gibson,CHI,201149,Joakim Noah,CHI,0,,,Made Shot ,
180,21500002,4,8:53,,Jefferson Out of Bounds - Bad Pass Turnover Turnover (P1.T9),,2210,Richard Jefferson,CLE,0,,,0,,,Turnover ,Out-of-Bounds Bad Pass Turnover
181,21500002,4,8:53,,,,0,,,0,,,0,,,Timeout ,Regular
182,21500002,4,8:53,SUB: Gasol FOR Noah,,,201149,Joakim Noah,CHI,2200,Pau Gasol,CHI,0,,,Substitution ,
